city,company,task,time,pay,regDate
서울 마포구, GS수퍼마켓 마포상암점,GS THE FREASH 마포상암점 야간진열 인원 (2명구인),18:30~22:00,"시급10,000",1분전
충남 아산시, GS수퍼마켓 아산음봉점,지에스슈퍼)금토일8시~12시 알바모집,08:00~12:00,"시급9,160",1분전
서울 마포구, GS수퍼마켓 마포상암점,GS수퍼 마포상암점 딜리버리 음식 생산(초보가능),17:00~20:30,"시급13,000",1분전
충남 아산시, GS수퍼마켓 아산음봉점,지에스슈퍼)주말 8:00~15:30 주말  알바모집,08:00~15:30,"시급9,160",2분전
경기 평택시, GS수퍼마켓 평택동삭2점,지에스더프레시 동삭 2점에서 오후 진열 및 계산 알바 모집합니다,17:00~23:00,"시급10,000",6분전
경북 예천군, GS수퍼마켓 도청호명점,GS수퍼마켓 도청호명점 일하실 분 구합니다,17:00~23:00,"시급9,160",7분전
경북 예천군, GS수퍼마켓 도청호명점,GS수퍼마켓 도청호명점 일하실 분 구합니다,17:00~23:00,"시급9,160",7분전
경남 창원시, GS수퍼마켓 월영마린점,GS수퍼마켓)월영마린점  주말 오전  계산대 직원 모집,09:00~13:00,"시급9,160",10분전
충남 천안시, GS수퍼마켓 천안쌍용점,GS수퍼 스토어매니저 직원모집,15:00~22:00,"시급9,160",10분전
충남 천안시, GS수퍼마켓 천안쌍용점,GS수퍼 스토어매니저(조리코너) 직원모집,15:00~22:00,"시급9,160",11분전
경기 용인시, GS수퍼마켓 수지동천점,[GS더 프레시 수지동천점]주말 오전 아르바이트 구인,,"시급9,160",14분전
부산 북구, GS수퍼마켓 구포점,GS THE FRESH 구포점에서 조리코너 근무할 직원을 구합니다,,"시급9,160",16분전
부산 북구, GS수퍼마켓 구포점,GS THE FRESH 구포점에서 조리코너 근무할 직원을 구합니다,,"시급9,160",16분전
충북 전체, GS수퍼마켓 청주테크노점,GS수퍼 청주테크노점 진열및 계산원채용,16:00~23:00,"월급1,667,120",18분전
대전 대덕구, GS수퍼마켓 신탄진점,GS수퍼신탄진점 조리코너 및 진열 직원 모집,16:00~23:00,"시급9,160",19분전
충북 전체, GS수퍼마켓 청주테크노점,GS수퍼 청주테크노점 진열및 계산원채용,16:00~23:00,"월급1,667,120",20분전
서울 마포구, GS수퍼마켓 마포상암점,(초보자환영)마포상암점 딜리버리 음식 생산,17:00~20:30,"시급13,000",26분전
울산 북구, GS수퍼마켓 울산천곡점,GS슈퍼 울산천곡점 계산/진열 아르바이트 채용,,"시급9,160",29분전
서울 마포구, GS수퍼마켓 마포상암점,(초보자환영)마포상암점 딜리버리 음식 생산,17:00~20:30,"시급13,000",31분전
서울 광진구, GS수퍼마켓 광진화양점,GS수퍼 광진화양점)오전 스토어매니저 채용합니다.,09:00~17:00,"시급9,160",34분전
인천 서구, GS수퍼마켓 검단푸르지오점,GS더프레시검단푸르지오점에서주말야간캐셔근무하실분을모집합니다(8월부터근무가능),,"시급9,160",38분전
경남 진주시, GS수퍼마켓 진주평거점,GS수퍼] 진주평거점 조리코너 및 공산(야간진열) 직원모집,,"시급9,160",38분전
경남 진주시, GS수퍼마켓 진주평거점,GS수퍼] 진주평거점 조리코너 및 공산(야간진열) 직원모집,,"시급9,160",39분전
경남 진주시, GS수퍼마켓 진주평거점,GS수퍼] 진주평거점 조리코너 및 공산(야간진열) 직원모집,,"시급9,160",40분전
강원 원주시, GS수퍼마켓 원주혁신점,계산원 채용,,"시급9,160",43분전
울산 동구, GS수퍼마켓 울산서부점,GS수퍼마켓 현대서부아파트 직원 모집,09:00~03:30,"시급9,160",44분전
대구 달성군, GS수퍼마켓 죽곡점,GS수퍼) 죽곡점에서 함께 일하실 직원 모집합니다(오전 상품 하역&진열),08:30~15:00,"시급9,160",48분전
대구 달성군, GS수퍼마켓 죽곡점,GS수퍼) 죽곡점에서 함께 일하실 직원 모집합니다( 조리코너),,"시급9,160",50분전
서울 송파구, GS수퍼마켓 송파점,GS 슈퍼마켓 송파점 직원모집 합니다.,,"시급9,160",55분전
세종 전체, GS수퍼마켓 세종아름점,GS수퍼 세종아름점 직원 모집,,"시급9,160",1시간전
세종 전체, GS수퍼마켓 세종아름점,GS수퍼 세종아름점 직원 모집,,"시급9,160",1시간전
세종 전체, GS수퍼마켓 세종아름점,GS수퍼 세종아름점 직원 모집,,"시급9,160",1시간전
세종 전체, GS수퍼마켓 세종아름점,GS수퍼 세종아름점 직원 모집,,"시급9,160",1시간전
서울 도봉구, GS수퍼마켓 방학신동아점,GS수퍼 방학 신동아점 오후 계산/진열 사원 모집,13:00~19:00,"시급9,160",1시간전
서울 전체, GS수퍼마켓 신길사러가점,GS THE FRESH 신길사러가점 조리사원 모집,16:00~23:00,"시급9,160",1시간전
서울 성북구, GS수퍼마켓 길음뉴타운점,매장내 진열사원을 모집합니다.,08:00~16:00,"시급9,160",1시간전
경기 남양주, GS수퍼마켓 호평알프하임점,"GS더프레시 호평알프하임 직원구인(오전, 야간)",19:30~23:00,"시급12,000",1시간전
강원 원주시, GS수퍼마켓 원주혁신점,계산원 채용,,"시급9,160",1시간전
강원 원주시, GS수퍼마켓 원주혁신점,조리 직원 채용,,"시급9,160",1시간전
서울 도봉구, GS수퍼마켓 방학신동아점,GS수퍼 방학 신동아점 오후 계산/진열 사원 모집,16:00~23:00,"시급9,160",1시간전
