city,company,task,time,pay,regDate
광주 광산구, 스타벅스 광주선운DT,스타벅스 광주선운DT점에서 바리스타를 모집합니다.,,"시급10,000",6분전
충남 공주시, 스타벅스 공주DT,스타벅스 공주DT점에서 함께 일할 열정적인 파트너를 모집합니다.,06:30~23:00,"시급10,000",7분전
경기 여주시, 스타벅스 여주P.아울렛입구,[여주P.아울렛입구점] 여주시 스타벅스 여주P.아울렛입구점 바리스타 모집,,"시급10,000",10분전
서울 강동구, 스타벅스 명일이마트,스타벅스 명일이마트 바리스타 채용,,"시급10,000",11분전
제주 서귀포, 스타벅스 제주중문DT,[스타벅스 제주중문DT점] 바리스타 모집,07:00~22:00,"시급10,000",13분전
전북 전주시, 스타벅스 전주에코시티,스타벅스 전주에코시티점 바리스타 모집,,"시급10,000",15분전
세종 가람동, 스타벅스 세종이마트,[세종이마트] 세종시 스타벅스 세종이마트점 바리스타 모집,,"시급10,000",16분전
서울 송파구, 스타벅스 송파마천사거리DT,[스타벅스 송파마천사거리DT] 바리스타 모집,,"시급10,000",19분전
경기 화성시, 스타벅스 동탄,스타벅스 동탄점에서 함께 근무할 파트너를 모집합니다.,,"시급10,000",21분전
서울 관악구, 스타벅스 신림DT,[스타벅스 신림DT점] 바리스타 모집,,"시급10,000",21분전
경기 화성시, 스타벅스 동탄디엠시티,스타벅스 동탄디엠시티점 바리스타 모집,,"시급10,000",24분전
서울 강남구, 스타벅스 강남구청역,스타벅스 강남구청역점 바리스타 모집,,"시급10,000",25분전
경기 하남시, 스타벅스 하남미사DT,스타벅스 하남미사DT점 바리스타 채용공고,,"시급10,000",32분전
서울 서초구, 스타벅스 강남대로논현R,[강남대로논현R] 스타벅스 강남대로논현R점 바리스타 모집합니다.,,"시급10,000",33분전
서울 강남구, 스타벅스 역삼럭키,스타벅스 역삼럭키점 바리스타 모집,,"시급10,000",34분전
서울 전체, 스타벅스 건국대,스타벅스 건국대점에서 함께 일 할 바리스타를 모집합니다.,,"시급10,000",34분전
전남 나주시, 스타벅스 전남나주,[전남나주] 스타벅스 전남나주점 바리스타 모집,,"시급10,000",34분전
경기 전체, 스타벅스 여주P.아울렛,스타벅스 여주 P.아울렛점에서 함께 일하실 바리스타를 모집합니다.,,"시급10,000",35분전
경기 화성시, 스타벅스 동탄목동,스타벅스 동탄목동점에서 함께 근무할 바리스타를 모집합니다.,,"시급10,000",40분전
경기 수원시, 스타벅스 수원나혜석거리,스타벅스 수원나혜석거리점에서 바리스타를 모집합니다,,"시급10,000",41분전
서울 전체, 스타벅스 건국대,스타벅스 건국대점에서 함께 일 할 바리스타를 모집합니다.,,"시급10,000",44분전
강원 강릉시, 스타벅스 강릉교동광장,스타벅스 강릉교동광장점에서 바리스타 채용을 진행하고 있습니다.,,"시급10,000",46분전
서울 송파구, 스타벅스 송파마천사거리DT,[스타벅스 송파마천사거리DT] 바리스타 모집,,"시급10,000",46분전
서울 전체, 스타벅스 경희궁로,스타벅스 경희궁로점에서 바리스타 파트너를 모집합니다.,06:30~20:30,"시급10,000",47분전
경기 성남시, 스타벅스 서현역,스타벅스 서현역점에서 바리스타를 모집합니다.,08:00~21:00,"시급10,000",48분전
대전 전체, 스타벅스 대전신탄진DT,스타벅스 대전 신탄진DT점에서 함께 일할 파트너를 모집합니다.,06:00~22:00,"시급10,000",54분전
경기 성남시, 스타벅스 미금역사거리,스타벅스 미금역사거리점에서 함께 할 바리스타를 모집합니다.,,"시급10,000",59분전
경기 오산시, 스타벅스 서동탄DT,[스타벅스 서동탄DT점] 바리스타 채용 모집,06:30~23:00,"시급10,000",1시간전
서울 용산구, 스타벅스 순천향입구,[한남동] 스타벅스 순천향입구점 바리스타 모집,,"시급10,000",1시간전
서울 전체, 스타벅스 낙성대DT,[스타벅스 낙성대DT점] 함께 즐겁게 근무할 바리스타 파트너 모집합니다,06:30~23:00,"시급10,000",1시간전
경기 화성시, 스타벅스 화성안녕DT,스타벅스 화성안녕DT,07:30~22:00,"시급10,000",1시간전
서울 송파구, 스타벅스 잠실시그마타워,스타벅스 잠실시그마타워점 바리스타를 모집합니다.,,"시급10,000",1시간전
서울 송파구, 스타벅스 아시아선수촌,스타벅스 아시아선수촌점에서 함께 일할 파트너를 구합니다.,06:30~22:00,"시급10,000",1시간전
광주 광산구, 스타벅스 광주비아DT,[광주비아DT] 광주광역시 광산구 광주비아DT점 바리스타 모집,,"시급10,000",1시간전
세종 전체, 스타벅스 세종다정DT,[스타벅스 세종다정DT점] 함께 근무할 바리스타 모집합니다.,,"시급10,000",1시간전
대전 중구, 스타벅스 대전유천DT,[대전유천DT점] 2022년 바리스타 채용,,"시급10,000",1시간전
경기 성남시, 스타벅스 오리역,스타벅스 오리역점에서 함께 할 바리스타를 모집합니다.,,"시급10,000",1시간전
서울 송파구, 스타벅스 송파거여역,[스타벅스 송파거여역점] 함께 근무할 바리스타를 모집합니다.,,"시급10,000",1시간전
경기 전체, 스타벅스 여주DT,스타벅스 여주DT점 바리스타 모집,,"시급10,000",1시간전
서울 송파구, 스타벅스 문정하비오,스타벅스 문정하비오점에서 함께 일할 바리스타를 모집합니다.,06:30~21:30,"시급10,000",1시간전
