city,company,task,time,pay,regDate
서울 서대문, 노브랜드버거 종로구청점,노브랜드버거 종로구청점 평일/주말 마감 아르바이트 모집합니다,,"시급11,208",9분전
서울 관악구, 노브랜드버거 방배역점,노브랜드버거 방배역점에서 평일 오전 아르바이트생을 모집합니다.,09:00~15:30,"시급11,208",11분전
서울 영등포, 신세계푸드 NBB 노량진점,"[노브랜드버거 노량진점] 시급 11,208원",,"시급11,208",13분전
서울 양천구, 신세계푸드 NBB 노량진점,"[노브랜드버거 노량진점] 시급 11,208원",,"시급11,208",13분전
서울 구로구, 신세계푸드 NBB 노량진점,"[노브랜드버거 노량진점] 시급 11,208원",,"시급11,208",14분전
서울 강서구, 신세계푸드 NBB 노량진점,"[노브랜드버거 노량진점] 시급 11,208원",,"시급11,208",15분전
서울 동작구, 신세계푸드 NBB 노량진점,"[노브랜드버거 노량진점] 시급 11,208원",,"시급11,208",15분전
인천 부평구, 노브랜드버거 부평역점,[노브랜드버거 부평역점] 평일/ 주말 파트타이머 구인,00:00~24:00,"시급9,160",21분전
경기 고양시, (주)신세계푸드노브랜드버거라페스타점,(주)신세계푸드  노브랜드버거 라페스타점에서 함께 일할 사원모집합니다.,,"시급11,208",25분전
서울 강남구, 노브랜드버거 대치대원빌딩점,노브랜드버거 대치대원빌딩점 주니어파트너 모집합니다.,,"시급11,208",25분전
서울 성동구, (주)신세계푸드,"[신세계푸드]신세계백화점본점 B1 홀직원구함[커피제조(바리스타),계산,판매]",11:00~20:00,"월급1,952,060",27분전
대구 달서구, 노브랜드버거 대구월성점,[Nbb버거월성점] 엔비언즈 알바모집(수목금토 마감조),13:30~22:30,"시급11,208",30분전
대구 달서구, 노브랜드버거 대구월성점,[Nbb버거월성점] 엔비언즈 알바모집(수목금토 마감조),13:30~22:30,"시급11,208",30분전
대구 달서구, 노브랜드버거 대구월성점,[Nbb버거월성점] 엔비언즈 알바모집(수목금토 마감조),13:30~22:30,"시급11,208",30분전
대구 달서구, 노브랜드버거 대구월성점,[Nbb버거월성점] 엔비언즈 알바모집(수목금토 마감조),13:30~22:30,"시급11,208",31분전
대구 달서구, 노브랜드버거 대구월성점,[Nbb버거월성점] 엔비언즈 알바모집(수목금토 마감조),13:30~22:30,"시급11,208",31분전
서울 동대문, (주)신세계푸드,"[신세계푸드]신세계백화점본점 B1 홀직원구함[커피제조(바리스타),계산,판매]",11:00~20:00,"월급1,952,060",40분전
대구 중구, (주)신세계푸드 노브랜드버거동성로점,(주)신세계푸드 노브랜드버거 대구동성로점 주말 파트타임(토/일)엔비언즈 모집,,"시급11,208",48분전
대구 중구, (주)신세계푸드 노브랜드버거동성로점,(주)신세계푸드 노브랜드버거 대구동성로점 주말 파트타임(토/일)엔비언즈 모집,,"시급11,208",50분전
인천 부평구, 노브랜드버거 부평역점,[노브랜드버거 부평역점] 평일/ 주말 파트타이머 구인,00:00~24:00,"시급9,160",52분전
인천 부평구, 노브랜드버거 부평역점,[노브랜드버거 부평역점] 평일  오픈/마감 알바구인  (주5일),00:00~24:00,"시급10,992",56분전
서울 종로구, (주)신세계푸드 베키아에누보 본점,"[신세계푸드]신세계백화점본점B1베키아에누보 조리,델리샌드위치,샐러드제조 모집",07:00~16:00,"월급1,952,060",58분전
서울 서대문, (주)신세계푸드 베키아에누보 본점,"[신세계푸드]신세계백화점본점B1베키아에누보 조리,델리샌드위치,샐러드제조 모집",07:00~16:00,"월급1,952,060",1시간전
서울 동대문, (주)신세계푸드 베키아에누보 본점,"[신세계푸드]신세계백화점본점B1베키아에누보 조리,델리샌드위치,샐러드제조 모집",07:00~16:00,"월급1,952,060",1시간전
서울 서초구, (주)신세계푸드 서초래미안리더스원,"(주)신세계푸드 리더스원레스토랑 PT 홀서버 (시급 12,000원)모집",12:30~17:00,"시급12,000",1시간전
서울 종로구, 노브랜드버거 을지로4가역점,노브랜드버거 을지로4가역점 미들 파트타이머 모집,11:00~20:00,"시급11,208",1시간전
서울 전체, (주)신세계푸드 노브랜드버거 역삼역점,"역삼역/시급12,000원(주휴포함)일6-8시간근무,초보,주부,대학생환영",,"시급12,000",1시간전
서울 강북구, 노브랜드버거 을지로4가역점,노브랜드버거 을지로4가역점 미들 파트타이머 모집,11:00~20:00,"시급11,208",1시간전
서울 성북구, 노브랜드버거 을지로4가역점,노브랜드버거 을지로4가역점 미들 파트타이머 모집,11:00~20:00,"시급11,208",1시간전
서울 서초구, (주)신세계푸드 서초래미안리더스원,"(주)신세계푸드 서초래미안리더스원 조리or세척 모집(시급12,000원)",,"월급2,500,000",1시간전
서울 성북구, 노브랜드버거 고려대점,노브랜드버거 고려대점 주3일 22.5시간 보건증 필수,,"시급11,208",1시간전
서울 동대문, 노브랜드버거 고려대점,노브랜드버거 고려대점 주3일 22.5시간 보건증 필수,13:30~22:30,"시급11,208",1시간전
서울 도봉구, 노브랜드버거고려대점,노브랜드버거 고려대점 주3일 22.5시간 /보건증 필수,,"시급11,208",1시간전
서울 강북구, 노브랜드버거고려대점,노브랜드버거 고려대점 주3일 22.5시간/ 보건증 필수,,"시급11,208",1시간전
서울 중랑구, (주)신세계푸드 베키아에누보 본점,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 제빵사 모집,07:00~16:00,"월급1,952,060",1시간전
서울 전체, (주)신세계푸드 노브랜드버거 역삼역점,"역삼역/시급12,000원(주휴포함)일6-8시간근무,초보,주부,대학생환영",,"시급12,000",1시간전
서울 강북구, (주)신세계푸드 베키아에누보 본점,[신세계푸드]신세계백화점 본점 B1 베키아에누보 베이커리 제빵사 모집,07:00~16:00,"월급1,952,060",1시간전
서울 송파구, 신세계푸드 NBB 거여역점,노브랜드버거 거여역점 주5일  아르바이트 모집,15:30~22:30,"시급11,208",1시간전
서울 성북구, 노브랜드버거 종로구청점,노브랜드버거 종로구청점 평일/주말 마감 아르바이트 모집합니다,,"시급11,208",1시간전
대전 유성구, 베키아에누보 대전라운지,"대전 신세계 vip라운지  커피,다과파트 모집",11:00~20:00,"시급10,000",1시간전
