city,company,task,time,pay,regDate
강원 춘천시, 도미노피자 남춘천점,[급구]도미노피자 춘천석사점 배달 스탭/정직원 구합니다.,11:00~22:00,"월급2,800,000",1분전
대구 남구, 도미노피자 봉덕점,도미노피자 봉덕점(본사직영) 아르바이트 모집중(배달/피자메이커),11:00~22:30,"시급12,000",2분전
경기 고양시, 도미노피자 일산점,"주급지급 배달(라이더), 주방(피자메이커) 마두백석점 모집 (내용참고)",,"시급14,000",2분전
충북 증평군, 도미노피자 증평점,zz도미노피자 증평점zz 팀원 주방CSR 2명 배달 딜리버리 2명 모집합니다,11:00~21:30,"시급9,160",2분전
충북 증평군, 도미노피자 증평점,zz도미노피자 증평점zz 팀원 주방CSR 2명 배달 딜리버리 2명 모집합니다,11:00~21:30,"시급9,160",3분전
경기 고양시, 도미노피자 일산점,"주급지급 배달(라이더), 주방(피자메이커) 마두백석점 모집 (내용참고)",,"시급14,000",3분전
충북 증평군, 도미노피자 증평점,zz도미노피자 증평점zz 팀원 주방CSR 2명 배달 딜리버리 2명 모집합니다,11:00~21:30,"시급9,160",3분전
충북 증평군, 도미노피자 증평점,zz도미노피자 증평점zz 팀원 주방CSR 2명 배달 딜리버리 2명 모집합니다,11:00~21:30,"시급9,160",3분전
경기 수원시, 도미노피자 신영통점,도미노피자 신영통점 배달스탭 구인(내용필독),11:30~22:30,"주급570,000",6분전
경기 수원시, 도미노피자 신영통점,도미노피자 신영통점 배달스탭 구인(내용필독),11:30~22:30,"주급570,000",6분전
경기 수원시, 도미노피자 신영통점,도미노피자 신영통점 배달스탭 구인(내용필독),11:30~22:30,"주급570,000",6분전
경기 수원시, 도미노피자 신영통점,도미노피자 신영통점 배달스탭 구인(내용필독),11:30~22:30,"주급570,000",6분전
대전 서구, 도미노피자 대전도안점,"피자메이커 모집합니다(주급 605,000원)",,"주급605,000",6분전
대전 서구, 도미노피자 대전도안점,"배달스탭모집(주급 605,000원)",,"주급605,000",6분전
대전 서구, 도미노피자 대전도안점,"배달스탭모집(주급 605,000원)",,"주급605,000",6분전
대전 서구, 도미노피자 대전도안점,"배달스탭모집(주급 605,000원)",,"주급605,000",6분전
울산 북구, 도미노피자 울산북구점,도미노피자울산북구점에서 참신한 알바생을 모집합니다,12:00~22:00,"시급9,160",7분전
경기 남양주, 도미노피자 별내점,도미노피자 별내점에서 직원/피자메이커 모집합니다.,11:00~22:30,"주급650,000",13분전
경기 남양주, 도미노피자 별내점,도미노피자 별내점에서 직원/피자메이커 모집합니다.,11:00~22:30,"주급650,000",13분전
경기 남양주, 도미노피자 별내점,도미노피자 별내점에서 직원 / 배달스탭(배달건당추가수당 지급) 모집합니다.,11:00~22:30,"주급600,000",13분전
경기 남양주, 도미노 피자 다산지금점,도미노피자 다산지금점 직원&배달&피자메이커 모집합니다.,11:30~22:30,"주급600,000",15분전
경기 남양주, 도미노 피자 다산지금점,도미노피자 다산지금점 직원&배달&피자메이커 모집합니다.,11:30~22:30,"주급600,000",15분전
경기 남양주, 도미노 피자 다산지금점,도미노피자 다산지금점 직원&배달&피자메이커 모집합니다.,11:30~22:30,"주급600,000",15분전
경기 남양주, 도미노 피자 다산지금점,도미노피자 다산지금점 직원&배달&피자메이커 모집합니다.,11:30~22:30,"주급600,000",15분전
경기 의정부, 도미노 피자 의정부민락점,도미노피자 의정부민락점 직원&배달&피자메이커 모집합니다.,,"주급600,000",15분전
경기 의정부, 도미노 피자 의정부민락점,도미노피자 의정부민락점 직원&배달&피자메이커 모집합니다.,,"주급600,000",15분전
경기 의정부, 도미노 피자 의정부민락점,도미노피자 의정부민락점 직원&배달&피자메이커 모집합니다.,,"주급600,000",15분전
경기 의정부, 도미노 피자 의정부민락점,도미노피자 의정부민락점 직원&배달&피자메이커 모집합니다.,,"주급600,000",15분전
경기 의정부, 도미노피자 의정부점,도미노피자 의정부호원점 피자메이커 모집합니다.,,"시급9,160",16분전
경기 의정부, 도미노피자 의정부점,도미노피자 의정부호원점 배달원 모집합니다.,,"주급600,000",16분전
경기 의정부, 도미노피자 의정부점,도미노피자 의정부호원점 배달원 모집합니다.,,"주급600,000",16분전
서울 양천구, 도미노피자 신월점,신월점에서 배달&피자메이커 주급받고 일하실분 구인합니다,11:30~21:30,"주급620,000",17분전
서울 양천구, 도미노피자 신월점,신월점에서 배달&피자메이커 주급받고 일하실분 구인합니다,11:30~21:30,"주급620,000",17분전
서울 양천구, 도미노피자 신월점,신월점에서 배달&피자메이커 주급받고 일하실분 구인합니다,11:30~21:30,"주급620,000",17분전
서울 양천구, 도미노피자 신월점,신월점에서 배달&피자메이커 주급받고 일하실분 구인합니다,11:30~21:30,"주급620,000",17분전
충북 청주시, 도미노피자 청주용암점,도미노피자용암점에서 함께할 (남.여) 라이더 및 주방모집  / 정직원 모집,,"시급11,000",18분전
경기 부천시, 도미노피자 부천심곡점,도미노피자 부천심곡점  피자메이커 모집합니다.,11:30~22:30,"주급550,000",23분전
충남 아산시, 도미노피자 배방점,"배달아르바이트, 피자메이커(여), 정직원(남,여) 구합니다.",,"시급11,200",23분전
충남 아산시, 도미노피자 배방점,"배달아르바이트, 피자메이커(여), 정직원(남,여) 구합니다.",,"시급11,200",23분전
충남 아산시, 도미노피자 배방점,"배달아르바이트, 피자메이커(여), 정직원(남,여) 구합니다.",,"시급11,200",23분전
