city,company,task,time,pay,regDate
경기 수원시, 호치킨 호치킨 광교중흥어뮤즈점,호치킨 광교 중흥 어뮤즈점  (치킨조리. 주방) 아르바이트초보자가능해요,16:00~23:00,"시급10,000",46분전
경기 수원시, 호치킨 호치킨 광교중흥어뮤즈점,"호치킨 광교 어뮤즈점  (주방,조리)  재밌게 함께 일하실분 초보자가능해요",16:00~23:00,"월급2,200,000",49분전
경기 수원시, 호치킨 수원매탄위브점,"[호치킨 매탄] 주말) 주방,홀 18시00분24시00분 6시간 구해요",18:00~24:00,"시급9,500",1시간전
서울 영등포, 호치킨 호치킨양평역점(현-1),"호치킨 양평역점 월,화 홀(주방x) 알바 구합니다.",18:00~22:00,"시급9,500",1시간전
서울 송파구, 호치킨 오금점,(급구)250만원 호치킨오금점에서 주방직원/아르바이트생을 구합니다.,15:00~01:00,"월급2,500,000",2시간전
서울 양천구, 호치킨 목2동시장점,[주5일280만원]호치킨 목2동시장점 에서  직원분 구해용,14:30~01:00,"월급2,800,000",2시간전
경기 용인시, 호치킨 보정점,"[알바] 호치킨 보정점 - 시급 11,000원",18:00~24:00,"시급11,000",3시간전
서울 송파구, 호치킨 오금점,(급구)250만원 호치킨오금점에서 주방직원/아르바이트생을 구합니다.,15:00~01:00,"월급2,500,000",3시간전
경기 수원시, 호치킨 수원매탄위브점,"[호치킨 매탄] 주말) 주방,홀 18시00분24시00분 6시간 구해요",18:00~24:00,"시급9,500",4시간전
서울 송파구, 호치킨 오금점,(급구)250만원 호치킨오금점에서 주방직원/아르바이트생을 구합니다.,15:00~01:00,"월급2,500,000",4시간전
서울 노원구, 호치킨 노원역점,호치킨 노원역점에서 알바를 모집합니다.,,"시급10,000",4시간전
경기 용인시, 호치킨 보정점,"[알바] 호치킨 보정점 - 시급 11,000원",18:00~24:00,"시급11,000",6시간전
서울 구로구, 호치킨 구일점,호치킨 구일점에서 주방보조 아르바이트를 채용합니다,18:30~22:30,"시급11,000",7시간전
서울 중랑구, 호치킨 상봉역점,호치킨[상봉역점]에서 아르바이트를 모집합니다.,18:00~01:00,"시급11,000",8시간전
서울 노원구, 호치킨 노원역점,호치킨 노원역점에서 알바를 모집합니다.,,"시급10,000",8시간전
서울 강동구, 호치킨 성내3동점,호치킨 성내3동점 평일 주말 알바모집,18:30~23:30,"시급9,500",13시간전
서울 광진구, 호치킨 구의역점,"호치킨 구의역점 홀서빙 (수,목)구합니다.",18:00~24:00,"시급9,500",07/16
인천 계양구, 호치킨 작전점,호치킨작전점 토일서빙하실분,19:00~22:00,"시급9,300",07/15
서울 노원구, 호치킨 노원역점,호치킨 노원역점에서 알바를 모집합니다.,,"시급10,000",07/14
경기 용인시, 호치킨 보정점,"[알바] 호치킨 보정점 - 시급 11,000원",18:00~24:00,"시급11,000",07/14
대전 서구, 호치킨 대전가장점,[AJ토탈 그룹] 직영점 매장관리 정규직 모집,,"연봉32,000,000",07/12
인천 계양구, 호치킨 작전점,호치킨작전점 토일서빙하실분,19:00~22:00,"시급9,300",07/12
경기 광주시, 호치킨 광주장지e편한세상점,"호치킨 남,여  직원 및 알바  구인",18:00~01:00,"시급10,000",07/12
경기 광주시, 호치킨 광주장지e편한세상점,"호치킨 남,여  직원 및 알바  구인",18:00~01:00,"시급10,000",07/12
경기 광주시, 호치킨 광주장지e편한세상점,"호치킨 남,여  직원 및 알바  구인",18:00~01:00,"시급10,000",07/12
경기 광주시, 호치킨 광주장지e편한세상점,"호치킨 남,여  직원 및 알바  구인",18:00~01:00,"시급10,000",07/12
서울 강동구, 호치킨 호치킨 길동역1번출구점,[AJ토탈 그룹] 직영점 매장관리 정규직 모집,,"연봉33,000,000",07/11
서울 노원구, 호치킨 노원역점,호치킨 노원역점에서 알바를 모집합니다.,,"시급10,000",07/11
서울 중랑구, 호치킨 상봉역점,호치킨[상봉역점]에서 직원을 모집합니다.,,"월급2,600,000",07/11
서울 영등포, 호치킨 호치킨양평역점(현-1),"호치킨 양평역점 월,화 홀(주방x) 알바 구합니다.",18:00~22:00,"시급9,500",07/11
경기 수원시, 호치킨 수원매탄위브점,"[호치킨 매탄] 주말주방,홀 18시00분24시00분 6시간 구해요",18:00~24:00,"시급9,500",07/10
서울 중랑구, 호치킨 상봉역점,호치킨[상봉역점]에서 아르바이트를 모집합니다.,18:00~01:00,"시급11,000",07/10
서울 양천구, 호치킨 목2동시장점,[주5일250만원]호치킨 목2동시장점 에서  직원분 구해용,14:30~01:00,"월급2,500,000",07/09
서울 광진구, 호치킨 구의역점,"호치킨 구의역점 홀서빙 (일,월)구합니다.",18:00~24:00,"시급9,500",07/08
서울 송파구, 호치킨 풍납2동점,풍납호치킨에서 목요일일요일 홀서빙알바 구합니다. 시급 11000원,18:30~00:30,"시급11,000",07/08
서울 송파구, 호치킨 풍납2동점,풍납동 호치킨 직원 구합니다. 주5일  270만,15:00~02:00,"월급2,700,000",07/08
대전 서구, 호치킨 대전가장점,주방 및 홀서빙 아르바이트 모집. /주휴수당/ /야간수당/,,"시급12,000",07/02
경기 의정부, 호치킨 회룡역점,호치킨 회룡역  주방직원 (주4or5일) 모집합니다.,18:00~01:00,"시급10,992",07/02
경기 의정부, 호치킨 회룡역점,회룡역 호치킨 주1일(화요일)홀서빙 모집합니다,19:00~01:00,"시급9,160",07/02
경기 하남시, 호치킨 호치킨 하남미사점,호치킨 하남미사점 홀 직원모집합니다.,19:00~24:00,"시급12,000",07/02
