city,company,task,time,pay,regDate
서울 중구, 신세계백화점 본점,POS(계산대) 포장 주말(금토일) 아르바이트 모집,12:30~20:30,"시급9,200",11분전
부산 해운대, 신세계백화점 센텀시티점,VIP라운지 아르바이트 모집,10:00~18:00,"시급9,200",12분전
서울 중구, 신세계백화점 본점,신세계백화점 본점 규격/진열 아르바이트 모집,,"시급9,200",44분전
서울 서초구, 신세계백화점 강남점,포터서비스 아르바이트 모집,10:30~20:30,"시급9,200",51분전
경기 의정부, 신세계 의정부점,2022년 추석 아르바이트 모집,10:00~18:00,"시급9,200",3시간전
서울 서초구, 신세계백화점 강남점,2022년 추석 (접수데스크) 단기 아르바이트 모집,10:00~18:00,"시급9,200",3시간전
서울 서초구, 신세계백화점 강남점,2022년 추석 (접수데스크) 단기 아르바이트 모집,10:00~16:00,"시급9,200",3시간전
서울 서초구, 신세계백화점 강남점,2022년 추석 단기 아르바이트 모집,10:30~18:30,"시급9,200",4시간전
대전 유성구, (주)신세계,신세계백화점 대전점 포터서비스 주말 아르바이트 모집,10:30~18:30,"시급9,200",5시간전
대구 동구, 신세계백화점 대구점,아카데미 강의 셋팅 아르바이트 모집,10:00~18:00,"시급9,200",5시간전
대구 동구, 신세계백화점 대구점,식품 직매입 운반/재고 관리 아르바이트 모집,10:00~18:00,"시급9,200",5시간전
대전 유성구, (주)신세계,신세계백화점 대전점 포터서비스 아르바이트 모집,10:30~18:30,"시급9,200",19시간전
서울 서초구, 신세계백화점 강남점,포터서비스 아르바이트 모집,10:30~20:30,"시급9,200",07/12
서울 서초구, 신세계백화점 강남점,중국어 통역 아르바이트 모집,10:00~20:00,"시급9,200",07/12
