city,company,task,time,pay,regDate
충남 아산시, (주)에스에스지닷컴,[TRADERS천안점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",22시간전
인천 중구, (주)에스에스지닷컴,SSG.COM(동인천점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",23시간전
경기 안산시, (주)에스에스지닷컴,SSG.COM(안산고잔점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",23시간전
경기 하남시, (주)에스에스지닷컴,SSG.COM(트레이더스 하남점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,"시급11,240",23시간전
서울 광진구, (주)에스에스지닷컴,SSG.COM(자양점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",23시간전
부산 해운대, (주)에스에스지닷컴,[해운대점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",23시간전
경기 안성시, (주)에스에스지닷컴,[TRADERS안성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/16
부산 남구, (주)에스에스지닷컴,[문현점]SSG.COM 스태프(주5일 근무) 모집[14시22시,14:00~22:00,"시급10,260",07/16
경기 용인시, (주)에스에스지닷컴,[수지점] SSG.COM 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/16
경기 안성시, (주)에스에스지닷컴,[안성점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/12
부산 연제구, (주)에스에스지닷컴,[연제점]SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/12
서울 성동구, (주)에스에스지닷컴,SSG.COM(성수점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/10
경기 평택시, (주)에스에스지닷컴,[평택점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/09
서울 성동구, (주)에스에스지닷컴,SSG.COM(왕십리점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/09
경기 고양시, (주)에스에스지닷컴,[TRADERS 고양점]SSG.COM 스태프(주5일 근무)모집,08:00~16:00,"시급10,940",07/08
경기 포천시, (주)에스에스지닷컴,[포천점] SSG.COM 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/05
경기 군포시, (주)에스에스지닷컴,SSG.COM(트레이더스 군포점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/04
서울 서초구, (주)에스에스지닷컴,SSG.COM(양재점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/04
경기 이천시, (주)에스에스지닷컴,SSG.COM[이천점] 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~16:00,"시급10,260",07/04
서울 송파구, (주)에스에스지닷컴,SSG.COM(가든파이브점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/04
경기 하남시, (주)에스에스지닷컴,SSG.COM(하남점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/04
서울 구로구, (주)에스에스지닷컴,SSG.COM(신도림점) 물류 피킹패킹 스태프(주5일 근무) 모집,08:00~22:00,"시급10,260",07/04
