city,company,task,time,pay,regDate
서울 구로구, CU 남구로사랑점,평일 월~금요일  오후근무 스태프 모집합니다.,12:30~17:00,"시급9,160",1분전
충남 홍성군, CU 홍성세광점,홍성세광점에서 야간근무자를 모집합니다(0시부터 6시까지),00:00~06:00,"시급9,160",2분전
서울 동작구, CU 사당로점,CU사당로 토요일 주간 STAFF 모집합니다,08:00~20:00,"시급9,160",2분전
충남 홍성군, CU 홍성초사랑점,CU홍성초사랑점 구인합니다(문자 바랍니다),15:00~20:00,"시급9,160",2분전
서울 성북구, CU 정릉베스트점,주말오후근무자 모집,16:00~23:00,"시급9,160",3분전
충북 진천군, CU 중부휴게소점,[토+일 가능] 토1명(12-18시) /일1명(14-22시),,"시급9,160",4분전
인천 연수구, CU 송도스마트밸리점,CU   송도스마트밸리점 오폰  매장관리직 모집  주부사원가능,06:00~13:00,"시급9,160",4분전
대구 북구, CU 대구역서원프레시빌점,CU 대구역서원프레시빌점 주말야간 STAFF 모집,21:00~07:00,"시급9,160",4분전
충북 청주시, CU 청주산남민들레점,"CU청주산남민들레점 스태프 채용(금, 토야간)",23:00~06:00,"시급9,160",4분전
대전 동구, CU 대전은어송마을점,주2회(화.목.)  파트타임 스텝  구인합니다(주10시간근무)- 시간협의가능,,"시급9,160",4분전
서울 동작구, CU 사당로점,"CU사당로 월,화,수 야간 아르바이트 모집합니다",23:00~08:00,"시급9,160",4분전
대전 동구, CU 대전은어송마을점,일요일 10시~18시  (8시간) 근무 스텝 -시간협의가능.추가근무도가능함,10:00~18:00,"시급9,160",4분전
대전 중구, CU 대전성모장례식장점,주말 알바 구합니다,18:00~24:00,"시급9,160",4분전
서울 전체, CU 창신쌍용1단지점,cu 편의점 창신쌍용1단지점  일요일 야간 근무자 모집,20:00~08:00,"시급10,000",5분전
서울 구로구, CU 남구로사랑점,월~금요일 오전 근무 스태프 모집합니다.,07:30~12:30,"시급9,160",5분전
광주 서구, CU 쌍촌원룸점,일요일 야간 알바 구합니다(토요일23:00~일요일09:00),23:00~09:00,"시급9,160",5분전
경기 화성시, CU 신규점,평일(월) 1개월 야간스텝 모집,00:00~09:00,"시급9,160",6분전
경기 부천시, CU 부천원미로점,[금일오전오후] CU부천원미로점 스태프 모집합니다.,06:00~12:00,"시급9,160",6분전
서울 성북구, CU 보문리슈빌점,CU보문리슈빌점에서 점장님을 모십니다.,08:30~18:30,"월급2,400,000",7분전
강원 강릉시, CU 강릉신동아점,월화수 또는 목금토 16시24시 구인/ 경력자 우대,16:00~24:00,"시급9,160",7분전
서울 중랑구, CU 용마하늘점,Cu용마하늘점 평일 야간 스태프 모집합니다,23:00~08:00,"시급9,160",8분전
전남 목포시, CU 목포영산로점,( 주말 ) 오후. 여 직원 구합니다(최저시급드립니다),16:00~22:00,"시급9,160",8분전
대구 북구, CU 구암점,"CU구암점 토,일 오전 월화 오후 4시간 타임 스태프 구합니다",,"시급9,160",8분전
경기 부천시, CU 부천원미로점,[수목야간] CU부천원미로점 스태프 모집합니다.,23:00~06:00,"시급9,500",9분전
대전 서구, CU 대전복수스타점,cu대전복수스타점 토요일낯근무 스태프 채용,09:00~21:00,"시급9,160",9분전
서울 강남구, CU 논현윤진점,평일야간근무자를모집(초보가능),21:00~08:00,"시급9,700",9분전
서울 영등포, CU 신길센트럴점,CU 편의점 주말야간,24:00~08:00,"시급9,200",10분전
충북 단양군, CU R소노문단양점,CU R소노문단양점에서 저녁타임 스태프를 모집합니다~,17:00~22:00,"시급9,160",10분전
서울 강서구, CU 강서해링턴점,Cu편의점 수요일목요일 야간 01시부터 08시까지 구해요,01:00~08:00,"시급9,400",10분전
서울 서대문, CU 아현스타점,편의점  주5일 야간근무자모집,23:00~09:00,"시급11,000",10분전
서울 서대문, CU 명지전문대점,"CU 명지전문대점 주간근무 주4일  (목,금,토,일) 1명모집",17:00~22:00,"시급9,160",11분전
경남 김해시, CU 김해왕릉점,cu김해왕릉점 주말야간 스태프 구함,22:00~07:00,"시급9,160",11분전
제주 제주시, CU 제주첨단리슈빌점,Cu편의점 주말오전알바구함,06:00~13:00,"시급9,160",12분전
대전 서구, CU 대전관저점,관저점에서 함께일할 수.목야간 스태프를 모집합니다,22:00~08:00,"시급9,160",12분전
서울 서초구, CU 교대역점,"주말(토,일요일) 08시에서14시 근무자 모집",08:00~14:00,"시급9,160",12분전
경남 창원시, CU 진해안골신항점,CU편의점 진해안골신항점 금토일 알바 구합니다,20:00~24:00,"시급9,160",12분전
부산 기장군, CU 기장교리중앙점,CU기장교리중앙점 주말오후 스태프 구합니다,16:00~23:00,"시급9,160",12분전
충남 당진시, CU 당진유곡점,CU당진유곡리 점  주4일 야간스태프 구합니다.,19:00~07:00,"시급11,000",13분전
대구 중구, CU 대구반월당역점,CU대구반월당역점 토일 주말스태프 모집,,"시급9,160",13분전
경북 구미시, CU 구미한신점,CU평일야간 단기매니저 구합니다 (1개월-3개월),00:00~08:00,"시급9,160",13분전
