city,company,task,time,pay,regDate
서울 강서구, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",2시간전
인천 계양구, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",2시간전
인천 서구, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",2시간전
경기 고양시, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",2시간전
경남 진주시, (주)지에스네트웍스,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,"월급2,286,000",2시간전
경남 진주시, (주)지에스네트웍스,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,"월급2,286,000",2시간전
경남 진주시, (주)지에스네트웍스,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,"월급2,286,000",2시간전
경남 사천시, (주)지에스네트웍스,GS네트웍스 진주센타 피킹담당 모집,09:30~18:30,"월급2,286,000",2시간전
제주 제주시, GS네트웍스 제주센타,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,"월급1,936,000",2시간전
제주 제주시, GS네트웍스 제주센타,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,"월급1,936,000",2시간전
제주 제주시, GS네트웍스 제주센타,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,"월급1,936,000",2시간전
제주 제주시, GS네트웍스 제주센타,GS네트웍스 제주센타 피킹담당 모집,09:00~18:00,"월급1,936,000",2시간전
경기 이천시, (주)지에스네트웍스,[GS네트웍스] 직영점포(GS25) 점포영업담당 채용,,"연봉27,000,000",2시간전
경기 이천시, (주)지에스네트웍스,[GS네트웍스] 직영점포(GS25) 점포영업담당 채용,,"연봉27,000,000",2시간전
강원 원주시, (주)지에스네트웍스,[GS네트웍스] 직영점포(GS25) 점포영업담당 채용,,"연봉27,000,000",2시간전
강원 원주시, (주)지에스네트웍스,[GS네트웍스] 직영점포(GS25) 점포영업담당 채용,,"연봉27,000,000",2시간전
경북 칠곡군, (주)지에스네트웍스,GS네트웍스 칠곡센타 오픈멤버 모집,,"월급2,340,000",3시간전
대구 달성군, (주)지에스네트웍스,GS네트웍스 칠곡센타 오픈멤버 모집,,"월급2,340,000",3시간전
대구 서구, (주)지에스네트웍스,GS네트웍스 칠곡센타 오픈멤버 모집,,"월급2,340,000",3시간전
대구 수성구, (주)지에스네트웍스,GS네트웍스 칠곡센타 오픈멤버 모집,,"월급2,340,000",3시간전
경남 김해시, (주)지에스네트웍스,GS네트웍스 김해센타 피킹담당 모집,09:30~18:30,"월급1,936,000",3시간전
경남 김해시, (주)지에스네트웍스,GS네트웍스 김해센타 피킹담당 모집,09:30~18:30,"월급1,936,000",3시간전
경남 김해시, (주)지에스네트웍스,GS네트웍스 김해센타 피킹담당 모집,09:30~18:30,"월급1,936,000",3시간전
경남 김해시, (주)지에스네트웍스,GS네트웍스 김해센타 피킹담당 모집,09:30~18:30,"월급1,936,000",3시간전
경기 수원시, (주)지에스네트웍스 발안지점,GS네트웍스 발안센타 피킹담당 모집,,"월급2,630,000",3시간전
경기 화성시, (주)지에스네트웍스 발안지점,GS네트웍스 발안센타 피킹담당 모집,,"월급2,630,000",3시간전
경기 안산시, (주)지에스네트웍스 발안지점,GS네트웍스 발안센타 야간 피킹담당 모집,22:00~07:00,"월급2,910,000",3시간전
경기 화성시, (주)지에스네트웍스 발안지점,GS네트웍스 발안센타 야간 피킹담당 모집,22:00~07:00,"월급2,910,000",3시간전
경기 김포시, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",3시간전
경기 김포시, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",3시간전
경기 김포시, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",3시간전
경기 김포시, (주)지에스네트웍스,GS네트웍스 고촌센타 피킹/검수/야간 모집 자차출근우대 친구동반환영,,"월급2,240,000",3시간전
대전 서구, (주)지에스네트웍스,GS네트웍스 공주센타 야간 피킹담당 모집,21:00~06:00,"월급3,360,000",3시간전
충남 공주시, (주)지에스네트웍스,GS네트웍스 공주센타 야간 피킹담당 모집,21:00~06:00,"월급3,360,000",3시간전
세종 도담동, (주)지에스네트웍스,GS네트웍스 공주센타 야간 피킹담당 모집,21:00~06:00,"월급3,360,000",3시간전
대전 유성구, (주)지에스네트웍스,GS네트웍스 공주센타 야간 피킹담당 모집,21:00~06:00,"월급3,360,000",3시간전
경북 경산시, (주)지에스네트웍스,GS네트웍스 경산센타 피킹담당 모집,09:30~18:30,"월급2,238,000",3시간전
경북 경산시, (주)지에스네트웍스,GS네트웍스 경산센타 피킹담당 모집,09:30~18:30,"월급2,238,000",3시간전
경북 경산시, (주)지에스네트웍스,GS네트웍스 경산센타 피킹담당 모집,09:30~18:30,"월급2,238,000",3시간전
경북 경산시, (주)지에스네트웍스,GS네트웍스 경산센타 피킹담당 모집,09:30~18:30,"월급2,238,000",3시간전
