city,company,task,time,pay,regDate
경기 고양시, 무인양품(주) 벨라시타점,MUJI / 무인양품 / 무지 벨라시타몰점 직원 모집,,"연봉23,000,000",14분전
경기 화성시, 무인양품(주) 동탄점,MUJI/ 무인양품/ 무지 동탄점 주말 파트타이머 모집,15:00~22:00,"시급9,250",19분전
경기 화성시, 무인양품(주) 동탄점,MUJI/ 무인양품/ 무지 동탄점 평일 파트타이머 모집,09:00~13:00,"시급9,250",19분전
경기 화성시, 무인양품(주) 동탄점,MUJI/ 무인양품/ 무지 동탄점 이트인(카페) 직원 모집,,"연봉23,000,000",32분전
경기 하남시, 무인양품(주) 위례점,무인양품 스타필드위례점 / 평일 오후 (7시간) 아르바이트 모집,14:00~22:00,"시급9,250",2시간전
경남 창원시, 무인양품(주) 창원점,MUJI / 무인양품 / 무지 창원점 직원 모집,,"연봉23,000,000",3시간전
경기 안산시, 무인양품(주) 안산점,무인양품/MUJI/무지 안산점 평일 (월화수)파트타이머 모집,16:30~20:30,"시급9,250",5시간전
서울 강남구, 무인양품(주) 파르나스몰점,MUJI / 무인양품 / 무지 파르나스몰점 직원 채용,,"연봉23,000,000",5시간전
경기 성남시, 무인양품(주) 롯데분당점,MUJI / 무인양품 / 무지 롯데분당점(수내역) 평일 파트타이머 모집,,"시급9,250",7시간전
경기 고양시, 무인양품(주) 벨라시타점,MUJI / 무인양품 / 무지 벨라시타몰점 직원 모집,,"연봉23,000,000",8시간전
경기 화성시, 무인양품(주) 동탄점,MUJI/ 무인양품/ 무지 동탄점 주말 파트타이머 모집,15:00~22:00,"시급9,250",07/16
경기 안산시, 무인양품(주) 안산점,"무인양품/MUJI/무지 안산점 주말(토,일) 파트타이머 모집",13:00~20:30,"시급9,250",07/15
경기 화성시, 무인양품(주) 동탄점,MUJI/ 무인양품/ 무지 동탄점 평일 파트타이머 모집,09:00~13:00,"시급9,250",07/15
대구 중구, 무인양품(주) 신세계대구점,MUJI / 무인양품 / 무지 신세계대구점 직원 모집,,"연봉23,000,000",07/14
대전 전체, 무인양품(주) 대전점,MUJI /무인양품 /무지 대전점 직원 모집,,"연봉23,000,000",07/13
