city,company,task,time,pay,regDate
부산 사하구, 투썸플레이스 동아대점,"투썸동아대점에서 오픈알바(월,화,수) 구해요",09:30~13:30,"시급9,160",2분전
서울 은평구, 투썸플레이스 연신내점,투썸플레이스 연신내점  매니져 (정직원) 채용공고,09:00~18:00,"월급2,100,000",3분전
경기 김포시, 투썸플레이스 김포운양점,투썸플레이스 김포 운양점 아르바이트/직원 모집,,"시급9,160",4분전
강원 삼척시, 투썸플레이스 삼척해수욕장점,투썸플레이스 삼척해수욕장점 오픈파트 매니저 모집,08:30~17:00,"월급2,100,000",6분전
서울 도봉구, 투썸플레이스(주),투썸명동대연각타워점 홀 직원 구인,,"시급11,160",9분전
서울 중구, 투썸플레이스,투썸 황학신당역점 평일 마감 스탭 구합니다.,17:00~23:00,"시급9,160",11분전
경기 광명시, 투썸플레이스 광명밤일점,투썸플레이스 광명밤일점에서 경력있는 매니저님을 모집합니다.,,"월급2,300,000",14분전
대구 수성구, 투썸대구범물점,"투썸플레이스 토,일 오전 알바 오전10시 ~ 토17시, 일14시30분까지",10:00~17:00,"시급9,160",18분전
대구 동구, 투썸플레이스 팔공산점,함께 일할 직원 구합니다,09:00~18:00,"월급2,150,000",22분전
대구 중구, 투썸플레이스 동성로 광장점,[투썸]동성로광장점(주5일)매니저 모집,,"월급2,000,000",30분전
경남 창원시, 투썸플레이스 창원용호점,투썸플레이스 창원용호점에서  마감매니저 구합니다.,14:00~23:00,"월급2,115,200",30분전
대전 서구, 투썸플레이스(주),투썸플레이스 대전탄방중앙점 [직영] 마감 스텝 채용,,"시급9,300",31분전
전북 익산시, 투썸플레이스 익산중앙점,투썸 익산중앙점 목금 마감스텝 모집합니다,16:30~22:00,"시급9,160",37분전
전북 익산시, 투썸플레이스 익산중앙점,투썸 익산중앙점 월화수 마감스텝 모집합니다,17:00~22:00,"시급9,160",37분전
대구 달성군, 투썸플레이스 대구테크노중앙로점,투썸플레이스 테크노중앙로점 매니저 모집,,"시급9,160",39분전
서울 서대문, 투썸플레이스이대역점,투썸플레이스 주3~4일 직원모집(동종업계유경험자),,"시급9,160",40분전
경기 오산시, 투썸플레이스오산시청점,"투썸플레이스 오산시청점 평일 저녁(월,화,금) 아르바이트 1명 모집합니다.",18:00~22:30,"시급9,160",47분전
서울 송파구, 투썸송파가든파이브점,"30-40대 환영 주말(토,일)마감스탭",15:30~21:00,"시급9,160",1시간전
서울 양천구, 투썸플레이스 홍대걷고싶은거리점,투썸플레이스 홍대걷고싶은거리점 매니저 모집공고,,"월급2,400,000",1시간전
경기 광명시, 투썸플레이스 광명소하점,투썸플레이스 광명소하점 스태프(아르바이트) 채용 공고,,"시급9,160",1시간전
서울 마포구, 투썸플레이스 홍대걷고싶은거리점,투썸플레이스 홍대걷고싶은거리점 월화 미들스텝 모집,14:00~21:00,"시급9,160",1시간전
부산 연제구, 투썸플레이스 부산거제점,투썸 부산거제점 주말 마감스탭 모집합니다.,18:00~23:00,"시급9,160",1시간전
인천 계양구, 소울하다(인천계양점),투썸플레이스 계양구청점 마감 스텝 모집,17:00~23:00,"시급9,160",1시간전
충북 청주시, 투썸플레이스 청주오송생명과학단지점,( 청주 오송 투썸플레이스 매니저 모집 ),,"월급2,200,000",1시간전
서울 강동구, 투썸플레이스(주),[직영점] 투썸플레이스 강동성심병원점 스탭 채용,,"시급9,160",1시간전
경기 남양주, 투썸별내신도시점,투썸플레이스 별내신도시점  아르바이트 직원모집,16:00~22:00,"시급10,500",1시간전
경기 성남시, 투썸야탑역점,투썸플레이스 야탑역점 야간타임,20:00~02:00,"시급9,160",1시간전
부산 동구, 투썸부산초량점,투썸부산초량점 토-수 or 목-일 직원 채용,,"시급9,160",1시간전
경기 성남시, 투썸플레이스 성남고등점,투썸플레이스 성남고등점에서 함께 일할  주말 오픈스텝을 모집합니다.,08:30~14:30,"시급9,160",1시간전
경기 성남시, 투썸플레이스 성남고등점,투썸플레이스 성남고등점에서 함께 일할  주말 오픈스텝을 모집합니다.,08:30~14:30,"시급9,160",1시간전
대구 북구, 투썸플레이스 대구태전점,[투썸플레이스 대구태전점] 정직원(매니저) 모집합니다.,10:00~19:00,"월급2,000,000",2시간전
경기 파주시, 투썸플레이스,투썸플레이스 파주 금촌점에서 점장님을 모집합니다.,,"월급2,200,000",2시간전
서울 송파구, 투썸플레이스잠실역,"투썸플레이스 잠실역점 월,화 ,수 마감  스텝 모집합니다.",18:00~23:30,"시급9,160",2시간전
서울 송파구, 투썸플레이스잠실역점,투썸플레이스 잠실역점  매니저  모집합니다.(월8회휴무),,"월급2,300,000",2시간전
서울 송파구, 투썸플레이스잠실역(2),"투썸플레이스 잠실역점  금,토,일 미들스텝 모집합니다.",15:30~20:00,"시급9,160",2시간전
부산 금정구, 투썸플레이스구서SK점,투썸플레이스 구서SK점에서 정직원(매니저)를 구합니다.,08:00~23:00,"월급2,000,000",2시간전
부산 해운대, 투썸플레이스 해운대중동역점(부산중동),"메니저,스텝 모집",,"월급2,150,000",2시간전
경기 성남시, 투썸플레이스 위례중앙점,투썸플레이스 마감 매니저 모집,13:30~22:30,"월급2,100,000",2시간전
경기 성남시, 투썸플레이스 위례중앙점,투썸플레이스 로테이션 매니저 모집,,"월급2,100,000",2시간전
부산 서구, 투썸플레이스부산서대신점,투썸플레이스 부산서대신점 오픈 매니저 모집,,"월급2,050,000",2시간전
