city,company,task,time,pay,regDate
충북 청주시, 누구나홀딱반한닭 오창호수점,누구나홀딱반한닭 오창호수점 직원구함,06:00~01:00,"시급10,000",2시간전
경기 광명시, 누구나홀딱반한닭 KTX광명역점,주방이모 및 홀매니저 구합니다,14:00~24:00,"월급2,800,000",2시간전
경기 화성시, 누구나홀딱반한닭 봉담2지구점,누구나홀딱반한닭 봉담2지구점 주방보조 급구,,"시급11,000",4시간전
서울 강남구, 누구나홀딱반한닭 도곡점,누구나홀딱반한닭 도곡점에서 목금 홀서빙 구합니다,18:30~23:30,"시급11,000",17시간전
경기 화성시, 누구나홀딱반한닭 동탄2시범단지점,누구나홀딱반한닭 동탄2시범단지점 홀 서빙 아르바이트 구인합니다,,"시급9,200",19시간전
경기 화성시, 누구나홀딱반한닭 동탄2시범단지점,누구나홀딱반한닭 동탄2시범단지점 홀 서빙 아르바이트 구인합니다,,"시급9,200",19시간전
경남 진주시, 누구나홀딱반한닭 진주혁신점,누구나홀딱반한닭 진주혁신점 주방직원 구합니다,16:00~01:00,"월급2,500,000",19시간전
강원 춘천시, 누나홀닭 춘천한숲시티점,누구나홀딱반한닭 한숲점 홀아르바이트,,"시급9,160",22시간전
경남 창원시, 누구나홀딱반한닭 창원용호점,홀 아르바이트 모집,,"시급10,000",07/17
경남 김해시, 누구나홀딱반한닭 김해내외점,누구나홀딱반한닭 김해내외점 홀 직원을 모집합니다.,19:00~24:00,"시급10,000",07/16
