city,company,task,time,pay,regDate
대구 수성구, 풀무원녹즙 대구수성지사,주부 오전 풀무원 녹즙 배달,08:00~12:00,"월급1,000,000",1분전
서울 강남구, 풀무원 녹즙 논현 남부 오피스,풀무원 녹즙 강남논현남부 주부사원모집(150만원),07:30~11:30,"월급1,500,000",4분전
대구 전체, 풀무원녹즙,풀무원녹즙 오전 배달스텝 모집합니다.,07:00~12:00,"월급1,200,000",9분전
대구 전체, 풀무원녹즙,풀무원녹즙 오전 배달스텝 모집합니다.,07:00~12:00,"월급1,200,000",10분전
인천 계양구, 풀무원건강생활 서인천가맹점,[풀무원녹즙] [급] 인천 계양구 오전주부배달 모집,08:00~10:30,"월급700,000",15분전
경기 고양시, 풀무원녹즙 일산동구홈가맹점,"마두동,정발산동 단독주택 새벽배달 구합니다",00:00~03:00,"월급900,000",22분전
경기 고양시, 풀무원녹즙 일산동구홈가맹점,"마두동,정발산동 단독주택 새벽배달 구합니다",00:00~03:00,"월급900,000",23분전
경기 고양시, 풀무원녹즙 일산동구홈가맹점,"마두동,정발산동 단독주택 새벽배달 구합니다",00:00~03:00,"월급900,000",24분전
경기 고양시, 풀무원녹즙 일산동구홈가맹점,"마두동,정발산동 단독주택 새벽배달 구합니다",00:00~03:00,"월급900,000",24분전
경기 고양시, 풀무원녹즙 일산동구홈가맹점,"마두동,정발산동 단독주택 새벽배달 구합니다",00:00~03:00,"월급900,000",25분전
경남 창원시, 풀무원녹즙,풀무원녹즙 배달스텝 모집,06:00~11:00,"월급1,500,000",29분전
서울 서초구, 역삼오피스녹즙,풀무원녹즙 역삼오피스가맹점 스텝 구인 (풀무원 전동카트 운영시 인센티브 제공,07:00~13:00,"월급1,500,000",36분전
서울 용산구, 풀무원건강생활 용산특판가맹점,풀무원 녹즙 용산 오피스 - 모닝스텝 모집,05:00~11:30,"시급11,000",39분전
서울 서초구, 우리녹즙,풀무원 녹즙 서초오피스 모닝스텝 모집 (주부/오전/110만원 보장),07:00~11:00,"월급1,100,000",51분전
강원 강릉시, 굿데이유통,풀무원녹즙 모닝스텝과 새벽배송직 모집합니다.,08:30~11:30,"월급800,000",54분전
전북 전주시, 풀무원녹즙 전주덕진오피스,풀무원녹즙배송(오전7시30분~10시30분)30-50세 여성분 모십니다,07:30~10:30,"월급1,000,000",55분전
인천 계양구, 풀무원건강생활 서인천가맹점,[풀무원녹즙] [급] 인천 계양구 오전주부배달 모집,08:00~10:30,"월급700,000",1시간전
경기 과천시, 하이로하스,풀무원녹즙  과천 아파트 배달하실분 구합니다,00:00~03:30,"건별900,000",1시간전
서울 중랑구, 풀무원녹즙강남지사,풀무원녹즙 배달 주부사원(오전근무)150만원 모십니다,06:30~11:00,"월급1,500,000",1시간전
경기 군포시, 군포건강드림,풀무원녹즙 군포지사(오전배송130만원)모닝스텝 모집,07:00~11:00,"월급1,200,000",1시간전
대구 달성군, 풀무원녹즙 달성테크노폴리스가맹점,풀무원녹즙 모닝스텝  모집합니다(오전시간),08:30~11:30,"월급1,000,000",1시간전
제주 서귀포, 제주특판유통,풀무원녹즙 서귀포배송 주부사원모집합니다.,,"월급1,200,000",1시간전
제주 서귀포, 제주특판유통,풀무원녹즙 서귀포배송 주부사원모집합니다.,,"월급1,200,000",1시간전
제주 서귀포, 제주특판유통,풀무원녹즙 서귀포배송 주부사원모집합니다.,,"월급1,200,000",1시간전
대구 달성군, 풀무원녹즙 달성테크노폴리스가맹점,풀무원녹즙 모닝스텝  모집합니다(오전시간),08:30~11:30,"월급1,000,000",1시간전
대구 달성군, 풀무원녹즙 달성테크노폴리스가맹점,풀무워니ㅣ녹즙 모닝스텝  모집합니다(오전시간),08:30~11:30,"월급1,000,000",1시간전
제주 서귀포, 제주특판유통,풀무원녹즙 서귀포배송 주부사원모집합니다.,,"월급1,200,000",1시간전
서울 강남구, 녹즙논현오피스가맹점,"[논현,신사동]풀무원 녹즙배송(오전 4시간-120만, 2시간-50만)",07:30~11:30,"월급1,200,000",1시간전
대구 전체, 달구벌유툥,"풀무원녹즙 여,주부배달",07:30~12:00,"월급1,200,000",2시간전
대구 전체, 달구벌유툥,"풀무원녹즙 여,주부배달",07:30~12:00,"월급1,200,000",2시간전
대구 전체, 달구벌유툥,"풀무원녹즙 여,주부배달",07:30~12:00,"월급1,200,000",2시간전
경기 부천시, 풀무원녹즙 부천특판지사,[오전3시간]풀무원녹즙 배달,06:30~10:00,"월급1,000,000",2시간전
인천 남동구, 풀무원녹즙 남동연수홈가맹점,풀무원녹즙 자가 차량 밤 배송 (비대면 배송만),,"월급850,000",2시간전
경기 수원시, 영통녹즙,(주3일)풀무원녹즙 아파트배달원 - 매탄동1명,,"시급15,000",3시간전
광주 남구, 풀무원녹즙 광주남구오피스,녹즙배송/주5일근무/월160만원/유류비지원,06:00~12:00,"월급1,600,000",3시간전
광주 남구, 풀무원녹즙 광주남구오피스,녹즙배송/주5일근무/월160만원/유류비지원,06:00~12:00,"월급1,600,000",3시간전
경기 수원시, 영통녹즙,(주3일)풀무원녹즙 아파트배달원 - 매탄동1명,,"시급15,000",3시간전
대구 달서구, 그린유통(풀무원녹즙),풀무원녹즙 새벽배달원 급구 (성서지역/소형 혹은 연비좋은차),03:30~06:30,"시급12,000",3시간전
경북 경산시, 풀무원건강생활 경산가맹점,풀무원 오전 녹즙배달 주부모집,08:00~11:30,"월급1,000,000",3시간전
경기 부천시, 풀무원 부천가맹점,풀무원녹즙 새벽배달스탭모집,01:00~04:30,"월급900,000",3시간전
