city,company,task,time,pay,regDate
충남 예산군, 딜버 예산점,배달대행 딜버 가족을 찾습니다.,,"건별4,000",26분전
경기 의정부, 딜버 의정부점,배달대행 딜버 의정부 배달 라이더 모집 [Ai추천배차/시간제보험],09:00~02:00,"일급200,000",33분전
경기 의정부, 딜버 의정부점,배달대행 딜버 의정부 배달 라이더 모집 [Ai추천배차/시간제보험],09:00~02:00,"일급200,000",33분전
경기 의정부, 딜버 의정부점,배달대행 딜버 의정부 배달 라이더 모집 [Ai추천배차/시간제보험],09:00~02:00,"일급200,000",33분전
경기 양주시, 딜버 딜버 경기양주옥정점,배달대행 DEALVER 라이더모집 [양주전지역],,"건별4,000",34분전
경기 양주시, 딜버 딜버 경기양주옥정점,배달대행 DEALVER 라이더모집 [양주전지역],,"건별4,000",34분전
대전 서구, 딜버 대전 서구본점,복지최강 딜버 라이더 모집(최다콜)(최고단가)(아이폰가능),00:00~24:00,"일급300,000",40분전
대전 서구, 딜버 대전 서구본점,복지최강 딜버 라이더 모집(최다콜)(최고단가)(아이폰가능),00:00~24:00,"일급300,000",41분전
대전 서구, 딜버 대전 서구본점,복지최강 딜버 라이더 모집(최다콜)(최고단가)(아이폰가능),00:00~24:00,"일급300,000",41분전
대전 서구, 딜버 대전가수원점,도안가수원1등 /아이폰가능/렌트비무료/시간제보험/최저수수료/콜수보장/투잡환영,,"월급6,000,000",41분전
대전 서구, 딜버 대전가수원점,도안가수원1등/아이폰가능/렌트비무료/시간제보험/최저수수료/콜수보장/투잡환영,,"월급6,000,000",41분전
경남 김해시, 딜버 구산삼계3호점,딜버/AI추천배차/스마트한배달대행/고용산재/딜버L지점 함께할 기사님 모십니다,09:00~01:00,"일급200,000",42분전
대전 유성구, 딜버 상대지점,딜버상대지점과 함께할기사님 모집합니다 [AI추천배차/시간제 유상운송],,"일급250,000",1시간전
세종 다정동, 딜버 세종점,[배달대행] 딜버 세종점에서 라이더님 모십니다/AI자동추천배차/아이폰가능,09:00~00:00,"일급300,000",1시간전
충남 공주시, 딜버 세종점,[배달대행] 딜버 세종점에서 라이더님 모십니다/AI자동추천배차/아이폰가능,09:00~00:00,"일급300,000",1시간전
세종 새롬동, 딜버 세종점,[배달대행] 딜버 세종점에서 라이더님 모십니다/AI자동추천배차/아이폰가능,09:00~00:00,"일급300,000",1시간전
대전 서구, 딜버 대전 원내점,배달대행/딜버라이더모집/바이크 렌트무상지원/시간제보험가능/높은기본금액,,"일급300,000",2시간전
대전 서구, 딜버 대전 원내점,배달대행/딜버라이더모집/바이크 렌트무상지원/시간제보험가능/높은기본금액,,"일급300,000",2시간전
대전 유성구, 대전 궁동지점,죽동 최고단가 배달대행[딜버]기사모집,,"일급200,000",2시간전
대전 유성구, 대전 궁동지점,유성구 최고단가 배달대행[딜버] 기사모집,,"일급200,000",2시간전
전남 목포시, 딜버 목포점,배달대행 업계1위 딜버가 직원을 모십니다.,,"일급150,000",2시간전
전남 목포시, 딜버 목포점,배달대행 고소득 가능업체는 딜버에서만 가능합니다.,,"일급150,000",2시간전
전남 목포시, 딜버 목포점,동종업계1위 딜버에서 고소득의 꿈을 이루세요,,"일급150,000",2시간전
전남 목포시, 딜버 산정용해점,타사배달대행근무자 우대/근무시간 본인선택/콜수 최다,,"일급150,000",2시간전
전남 목포시, 딜버 산정용해점,딜버에서만 고소득가능/가족같은 분위기에서 편하게 일하세요,,"일급150,000",2시간전
인천 부평구, 부평 삼산지점,부평구 최고단가/딜버/부평배달대행/피크할증/우천할증1000원/야간할증1000,09:00~05:00,"일급200,000",2시간전
경남 김해시, 김해 삼계1점,[급구]딜버김해1지점 /1등지점 라이더모집 .콜수보장/수익보장/초보가능.투잡,,"건별9,160",2시간전
인천 부평구, 부평 삼산지점,딜버/배달대행/부평구/라이더모집/정착지원금/프리랜서/투잡/자율출근/주말알바,09:00~05:00,"일급200,000",2시간전
인천 부평구, 딜버 인천 부평점,딜버/인천부평구/배달대행/정착지원금/피크할증/피크지원금/주말할증/최대할증,09:00~06:00,"일급200,000",2시간전
