city,company,task,time,pay,regDate
서울 노원구, 7번가 피자 상계점,7번가 피자 상계점 6개월이상 배달 및 주방보조 파트타이머 구합니다.,11:00~21:00,"시급11,000",1시간전
서울 노원구, 7번가 피자 상계점,7번가 피자 상계점 직원을 구하고 있습니다.,10:00~22:00,"월급3,000,000",1시간전
서울 노원구, 7번가 피자 상계점,7번가 피자 상계점 6개월이상 주방및 배달 경력자구합니다.,11:00~21:00,"주급700,000",1시간전
제주 제주시, 7번가피자 제주 애월점,애월 7번가피자(하나로마트 옆)에서 파트타임 구인합니다,18:00~23:00,"시급9,500",1시간전
서울 강동구, 7번가피자 성내점,"7번가피자 강동구 성내점에서 직원(배달 가능), 주방 알바 모집합니다",,"시급9,160",2시간전
제주 제주시, 7번가피자 제주이도점,7번가피자 제주이도점에서 주말알바 구합니다,11:00~23:00,"시급10,000",2시간전
강원 강릉시, 7번가피자 강릉점,"7번가피자 주방 보조 , 카운터 직원 모집",17:00~22:00,"시급9,500",3시간전
경기 김포시, 7번가피자 김포사우점,7번가피자 사우점 주방보조 / 초보 및 주부 완전 환영,,"시급9,160",5시간전
경기 용인시, 7번가 피자,7번가피자 기흥점 피자메이커 모집,18:00~22:00,"주급120,000",5시간전
서울 노원구, 7번가 피자 상계점,7번가 피자 상계점 6개월이상 주방및 배달 경력자구합니다.,11:00~21:00,"주급700,000",6시간전
서울 노원구, 7번가 피자 상계점,7번가 피자 상계점 직원을 구하고 있습니다.,10:00~22:00,"월급3,000,000",6시간전
부산 기장군, 7번가피자 기장점,기장점 주말 주방팀원 구해요,12:00~23:00,"시급9,160",6시간전
경기 부천시, 7번가피자 범박점,7번가피자 범박점  정규직 및 아르바이트 채용합니다.,,"시급12,000",7시간전
서울 강동구, 7번가피자 성내점,"7번가피자 강동구 성내점에서 직원(배달 가능), 주방 알바 모집합니다",,"시급9,160",7시간전
부산 기장군, 7번가피자 기장점,기장점 평일 저녁 주방팀원 구해요,17:00~23:00,"시급9,160",7시간전
부산 기장군, 7번가피자 기장점,기장점 주말 주방팀원 구해요,12:00~23:00,"시급9,160",7시간전
대전 서구, 7번가피자 관저점,7번가피자 관저점 배달라이더  [평일1명],18:00~21:30,"시급12,000",8시간전
경남 김해시, 7번가피자 김해내외동점,7번가피자 내외점에서 1800시-2200시(0명)파트타임 구합니다.,18:00~22:00,"시급10,000",13시간전
대전 중구, 7번가피자태평유천점,7번가피자 태평유천점,,"시급9,160",15시간전
울산 중구, 7번가피자 약사병영점,[7번가피자 약사병영점] 아르바이트생 모집합니다(주말)(평일),,"시급9,500",19시간전
경기 부천시, 7번가피자 범박점,7번가피자 범박점  정규직 및 아르바이트 채용합니다.,,"시급12,000",07/16
대구 북구, 7번가피자 칠곡점,7번가피자 칠곡점 주방 아르바이트 구합니다.(주2-5일),18:00~23:00,"시급9,160",07/16
대구 북구, 7번가피자 칠곡점,7번가피자 칠곡점 정직원 구합니다.(주4일근무),11:00~23:00,"월급2,235,040",07/16
경기 수원시, 7번가피자 수원정자점,"7번가피자 수원정자점 직원 채용(주5일/6시간/월급1,450,000원)",18:00~24:00,"월급1,450,000",07/16
경기 김포시, 7번가피자 고촌점,7번가피자 고촌점 알바 모십니다,,"시급9,160",07/15
경기 김포시, 7번가피자 김포사우점,7번가피자 사우점 주방보조 / 초보 및 주부 완전 환영,,"시급9,160",07/14
대전 서구, 7번가피자 관저점,7번가피자 관저점 배달라이더 모집 투잡 꿀알바 [평일1명],18:00~21:30,"시급12,000",07/14
대구 전체, 7번가피자 신천점,7번가피자 대구신천점 주방 및 캐셔 아르바이트 모집(주3-5일),17:00~22:00,"시급9,160",07/14
경기 부천시, 7번가피자 범박점,7번가피자 범박점  정규직 및 아르바이트 채용합니다.,,"시급12,000",07/13
전남 목포시, 7번가피자목포북항점,7번가피자 북항점에서 함께 일할 가족을 구합니다.,11:00~23:00,"시급9,160",07/11
경남 김해시, 7번가피자 김해내외동점,7번가피자 내외점에서 15:00시~22:00시(0명)파트타임 구합니다.,15:00~22:00,"시급10,000",07/07
경기 수원시, 7번가피자 수원정자점,[7번가피자 수원정자]파트타임 일하실분,18:00~23:00,"시급9,160",07/07
충북 청주시, 7번가피자  용암점,7번가피자 용암점 알바 (피자메이커) 모집합니다,17:30~21:30,"시급9,500",07/06
강원 강릉시, 7번가피자 강릉점,"7번가피자 강릉점 카운터, 매장관리 파트타임 모집",17:00~22:00,"시급9,500",07/04
경기 가평군, 7번가피자 가평설악점,7번가피자 가평살악점 매장 직원 모집,13:30~22:30,"월급2,500,000",07/04
충북 청주시, 7번가피자  용암점,7번가피자 용암점 즐겁게일할 배달(라이더)사원 모집합니다,12:00~22:00,"시급9,500",07/03
충북 청주시, 7번가피자  용암점,7번가피자 용암점 즐겁게일할 (피자메이커)사원 모집합니다,17:30~21:30,"시급9,500",07/02
