city,company,task,time,pay,regDate
서울 서초구, (주)신세계엘앤비,[신세계L&B] SSG 푸드마켓 도곡점 와인판매 고정알바모집(평일 근무),13:30~21:30,"일급88,000",8분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] SSG 푸드마켓 도곡점 와인판매 고정알바모집(평일 근무),13:30~21:30,"일급88,000",8분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] SSG 푸드마켓 도곡점 와인판매 고정알바모집(평일 근무),13:30~21:30,"일급88,000",8분전
서울 서초구, (주)신세계엘앤비,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외),13:00~21:00,"일급88,000",8분전
서울 서초구, (주)신세계엘앤비,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외),13:00~21:00,"일급88,000",8분전
서울 동작구, (주)신세계엘앤비,와인앤모어데일리 남부터미널점 와인 진열/판매 고정알바모집(월 10일 내외),13:00~21:00,"일급88,000",8분전
경기 오산시, (주)신세계엘앤비,[신세계L&B] 이마트에브리데이 동탄호수점 와인매장 고정알바모집,12:00~20:00,"일급88,000",8분전
경기 화성시, (주)신세계엘앤비,[신세계L&B] 이마트에브리데이 동탄호수점 와인매장 고정알바모집,12:00~20:00,"일급88,000",8분전
서울 서초구, (주)신세계엘앤비,와인앤모어데일리 양재점 와인진열/판매 고정알바모집(주중근무),14:00~22:00,"일급88,000",8분전
경기 과천시, (주)신세계엘앤비,와인앤모어데일리 양재점 와인진열/판매 고정알바모집(주중근무),14:00~22:00,"일급88,000",8분전
서울 서초구, (주)신세계엘앤비,와인앤모어데일리 양재점 와인진열/판매 고정알바모집(주중근무),14:00~22:00,"일급88,000",8분전
서울 강동구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필드위례점 와인판매 알바 모집,12:00~20:00,"일급88,000",8분전
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필드위례점 와인판매 알바 모집,12:00~20:00,"일급88,000",8분전
서울 강남구, (주)신세계엘앤비,[신세계엘앤비] 와인앤모어 청담점 와인판매 고정스탭 모집,13:00~21:00,"일급88,000",8분전
서울 성동구, (주)신세계엘앤비,[신세계엘앤비] 와인앤모어 청담점 와인판매 고정스탭 모집,13:00~21:00,"일급88,000",8분전
서울 중구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 서소문점 와인판매 고정스탭 모집,12:00~20:00,"일급88,000",9분전
서울 은평구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 서소문점 와인판매 고정스탭 모집,12:00~20:00,"일급88,000",9분전
서울 광진구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 삼성1호점 와인판매 고정스탭 모집,13:00~21:00,"일급88,000",9분전
서울 송파구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 삼성1호점 와인판매 고정스탭 모집,13:00~21:00,"일급88,000",9분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 삼성1호점 와인판매 고정스탭 모집,13:00~21:00,"일급88,000",9분전
서울 성동구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일위주),14:00~22:00,"일급88,000",9분전
서울 성동구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 서울숲점 매장 와인판매 알바 모집(평일위주),14:00~22:00,"일급88,000",9분전
서울 서대문, (주)신세계엘앤비,"[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(평일,월7일)",12:30~20:30,"일급88,000",9분전
서울 중구, (주)신세계엘앤비,"[신세계L&B] 와인앤모어 광화문점 매장 와인판매 알바 모집(평일,월7일)",12:30~20:30,"일급88,000",9분전
서울 서초구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 역삼센터필드점 와인판매 스탭모집,13:00~21:00,"일급88,000",9분전
서울 성동구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 역삼센터필드점 와인판매 스탭모집,13:00~21:00,"일급88,000",9분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 역삼센터필드점 와인판매 스탭모집,13:00~21:00,"일급88,000",9분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 역삼센터필드점 와인판매 스탭모집,13:00~21:00,"일급88,000",9분전
