city,company,task,time,pay,regDate
부산 해운대, 홍대개미 신세계백화점센텀시티점,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",7분전
부산 부산진, 홍대개미 삼정타워점,주말 오후 홀서빙,,"시급9,160",12분전
서울 중구, 홍대개미청량리역사점,"홍대개미청량리점 주방직원 (255만원)&홀파트 주말마감(9,500원)",,"월급2,550,000",1시간전
서울 동대문, 홍대개미청량리역사점,"홍대개미청량리점 주방직원 (255만원)&홀파트 주말마감(9,500원)",,"월급2,550,000",1시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",1시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",2시간전
부산 북구, 홍대개미 덕천점,홍대개미 덕천점  디너 아르바이트 모집합니다,18:00~22:00,"시급9,160",3시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",3시간전
경기 수원시, 홍대개미 갤러리아 광교 직영점,[홍대개미 갤러리아 광교] 주5일 주방 정직원 모집,11:00~20:00,"월급1,950,000",3시간전
광주 서구, 홍대개미상무점,"홍대개미상무점   홀서빙 파트타임 - 평일  점심(시급 10,000원",,"시급10,000",3시간전
부산 중구, 홍대개미 롯데백화점 광복점,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~21:00,"월급2,250,000",4시간전
부산 부산진, 홍대개미 롯데백화점 부산본점,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",4시간전
부산 북구, 홍대개미 덕천점,홍대개미 덕천점  디너 아르바이트 모집합니다,18:00~22:00,"시급9,160",4시간전
부산 부산진, 홍대개미 롯데백화점 부산본점,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",5시간전
광주 서구, 홍대개미 신세계백화점 광주점,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,"월급2,250,000",5시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,[홍대개미 신세계백화점 센텀점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",6시간전
부산 중구, 홍대개미 롯데백화점 광복점,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~21:00,"월급2,250,000",6시간전
경기 구리시, [홍대개미] 롯데구리점,홍대개미 롯데 구리점 주5일 정직원 주방 모집,,"월급2,250,000",8시간전
경기 구리시, [홍대개미] 롯데구리점,홍대개미 롯데 구리점 주5일 정직원 주방 모집,,"월급2,250,000",8시간전
경기 구리시, [홍대개미] 롯데구리점,홍대개미 롯데 구리점 주5일 정직원 주방 모집,,"월급2,250,000",8시간전
경기 구리시, [홍대개미] 롯데구리점,홍대개미 롯데 구리점 주5일 정직원 주방 모집,,"월급2,250,000",8시간전
광주 서구, 홍대개미 신세계백화점 광주점,[(월 225만원)홍대개미 신세계백화점 광주점] 주5일 주방,09:00~20:00,"월급2,250,000",8시간전
부산 중구, 홍대개미 롯데백화점 광복점,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~21:00,"월급2,250,000",8시간전
울산 남구, 홍대개미 울산삼산점,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다.,10:00~22:00,"월급2,800,000",13시간전
부산 중구, 홍대개미 롯데백화점 광복점,[주5일/225만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~21:00,"월급2,250,000",07/17
서울 광진구, 홍대개미 롯데백화점 스타시티점,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급2,300,000",07/16
서울 광진구, 홍대개미 롯데백화점 스타시티점,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급2,300,000",07/16
부산 부산진, 홍대개미 롯데백화점 부산본점,[홍대개미 롯데백화점 부산본점] 주방 주5일 정직원 모집,09:00~20:00,"월급2,250,000",07/16
울산 남구, 홍대개미 울산삼산점,홍대개미 울산삼산점에서 함께할 홀  정직원 모집합니다.,10:00~22:00,"월급2,800,000",07/15
광주 서구, 홍대개미상무점,"홍대개미상무점   홀서빙 파트타임 - 평일  점심(시급 10,000원",,"시급10,000",07/15
경기 수원시, 홍대개미 갤러리아 광교 직영점,[홍대개미 갤러리아 광교] 주5일 주방 정직원 모집,11:00~20:00,"월급1,950,000",07/14
부산 전체, 홍대개미 부산 광안리점,[주5일/실근무 9시간] 홍대개미 광안리점 주방 정직원 모집합니다,10:30~21:30,"월급2,250,000",07/13
서울 광진구, 홍대개미 롯데백화점 스타시티점,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급2,300,000",07/13
