city,company,task,time,pay,regDate
서울 양천구, 한무쇼핑(주),현대백화점목동점/VIP라운지/주5일/서빙업무,09:30~19:00,"시급10,000",2분전
서울 성북구, 현대백화점 미아점,현대백화점 미아점 판매기획팀  주말 행사알바 모집(보건증필수),12:00~19:00,"시급9,200",31분전
경기 성남시, 현대백화점 판교점,현대백화점 판교점 VIP라운지 보조 아르바이트 모집합니다,10:00~19:30,"시급9,200",38분전
서울 영등포, 더현대서울,[더현대 서울] 꿀알바 현대백화점 판매기획팀 업무보조 아르바이트 모집,09:30~19:00,"시급9,200",1시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,"[토,일] 현대시티몰 통합서비스데스크 주말 고정AR 모집",10:00~18:00,"시급9,200",1시간전
경기 부천시, 현대백화점 중동점,[현대백화점 중동점]판매기획팀 업무보조A/R 모집,09:30~18:00,"시급9,200",2시간전
경기 성남시, 현대백화점 판교점,현대백화점 판교점 문화센터 요리보조 주5일 (화~토) 아르바이트 모집합니다.,09:00~18:30,"시급9,200",2시간전
울산 남구, 현대백화점,[급구] 현대백화점 자스민 업무보조 AR모집,10:30~20:00,"시급9,200",2시간전
서울 강남구, 현대백화점,[단기꿀알바] 현대백화점 압구정본점 명절 단기 아르바이트 채용,10:00~19:30,"시급10,000",2시간전
서울 양천구, 한무쇼핑(주),현대백화점목동점/VIP라운지설겆이업무/주5일/장기,12:30~19:00,"시급9,200",2시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바),10:00~18:00,"시급9,200",2시간전
부산 동구, 주식회사 현대백화점 부산점,[현대백화점 부산점] 문화센터 강의실 수업준비 평일 아르바이트 모집,09:00~18:30,"시급9,200",3시간전
경기 부천시, 현대백화점 중동점,[현대백화점 중동점] 자스민라운지 계약직 모집 (주 5일 스케줄 근무),09:30~19:00,"월급2,276,667",3시간전
서울 송파구, 현대백화점 현대시티몰 가든파이브점,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바),10:00~18:00,"시급9,200",3시간전
서울 서대문, 현대백화점 신촌점,"[시급9,200원][현대백화점신촌점] 자스민 라운지 주방보조A/R 구인",11:00~19:00,"시급9,200",3시간전
서울 강남구, 현대백화점,[꿀알바] 현대백화점 압구정본점 VIP라운지 바리스타 채용,09:30~18:30,"시급9,880",5시간전
서울 양천구, 한무쇼핑(주),현대백화점목동점/VIP라운지/주5일/서빙,09:30~19:00,"시급10,000",5시간전
서울 서대문, 현대백화점 신촌점,[요일무관 주5일][현대백화점신촌점] 자스민 라운지 보조업무 A/R 구인,11:00~19:00,"시급9,200",18시간전
서울 강남구, (주)현대백화점,현대백화점 본사(삼성역) 상품 단가 등록 아르바이트,09:00~18:00,"시급9,200",20시간전
서울 전체, 현대백화점 현대시티몰 가든파이브점,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바),10:00~18:00,"시급9,200",07/17
대구 중구, 현대백화점,"현대백화점 대구점 사은데스크 주말(금,토,일) 장기 아르바이트 모집",,"시급9,200",07/16
서울 전체, 현대백화점 현대시티몰 가든파이브점,[주5일/스케줄근무]현대시티몰 통합서비스데스크 고정 알바 모집(꿀알바),10:00~18:00,"시급9,200",07/16
서울 구로구, 현대백화점 디큐브시티,"[디큐브시티][토,일] 현대백화점(신도림) 카드발급/TM 알바모집",10:30~20:00,"시급9,200",07/16
인천 연수구, 현대백화점 송도아울렛,[현대아울렛송도점] 현대백화점 통합멤버십 신규가입 응대,12:00~19:00,"시급9,200",07/16
부산 동구, 주식회사 현대백화점 부산점,[현대백화점 부산점] 문화센터 강의실 수업준비 평일 아르바이트 모집,09:00~18:30,"시급9,200",07/13
서울 강남구, 현대백화점,[주5일] 현대백화점 압구정본점 VIP라운지 주방보조 채용,09:00~19:00,"시급9,670",07/13
서울 강남구, 현대백화점,[주5일] 현대백화점 압구정본점 VIP라운지 주방보조 채용,09:00~19:00,"시급9,670",07/13
서울 강동구, 현대백화점 천호점,"[현대백화점 천호점] VIP라운지 음료제조, 주방보조 AR채용",11:00~20:00,"시급9,200",07/13
경기 성남시, 현대백화점 판교점,현대백화점 판교점 회원서비스센터 카드접수 주5일 아르바이트 모집합니다.,10:30~20:00,"시급9,200",07/11
경기 남양주, 남양주 현대아울렛,남양주 현대아울렛 회원모집 아르바이트 모집,10:30~19:00,"시급9,200",07/10
서울 구로구, 현대백화점 디큐브시티,"[디큐브시티][토,일] 현대백화점(신도림) 카드발급/TM 알바모집",10:30~20:00,"시급9,200",07/10
경기 성남시, 현대백화점 판교점,현대백화점 판교점 어린이미술관 안전 주5일 아르바이트 모집합니다,09:30~19:00,"시급9,200",07/10
서울 영등포, 더현대서울,[더현대 서울] 현대백화점 사은데스크 주3일 아르바이트 모집,,"시급9,200",07/07
서울 금천구, (주)현대백화점,현대백화점 클럽쟈스민 ARS 접수 단기 아르바이트 채용,09:00~18:30,"시급10,339",07/03
서울 영등포, 더현대서울,[더현대 서울] 현대백화점 365리사이클 캠페인 아르바이트 모집,10:00~19:30,"시급9,200",07/02
